level,campaign_id,campaign,day_ET,spend,impressions,link_clicks,CPM,link_CTR_pct,link_CPC,completed_saved,new_acquisitions,observed_starts,observed_sessions,CPL_saved,CPL_new,cost_per_observed_start,measurement_flags
CAMPAIGN,120250540492410660,Main property,2026-08-21,112.41,3065,39,36.68,1.272,2.88,3,3,,,37.47,37.47,,"O:observed browser sessions, not certified humans; C:CRM confirmed, attribution/time limits; T:session telemetry unavailable before Sep12; S:starts not measured"
CAMPAIGN,120250540492410660,Main property,2026-08-22,95.25,3120,38,30.53,1.218,2.51,8,8,,,11.91,11.91,,"O:observed browser sessions, not certified humans; C:CRM confirmed, attribution/time limits; T:session telemetry unavailable before Sep12; S:starts not measured"
CAMPAIGN,120250540492410660,Main property,2026-08-23,196.99,6561,54,30.02,0.823,3.65,9,9,,,21.89,21.89,,"O:observed browser sessions, not certified humans; C:CRM confirmed, attribution/time limits; T:session telemetry unavailable before Sep12; S:starts not measured"
CAMPAIGN,120250540492410660,Main property,2026-08-24,175.72,5390,45,32.6,0.835,3.9,9,9,,,19.52,19.52,,"O:observed browser sessions, not certified humans; C:CRM confirmed, attribution/time limits; T:session telemetry unavailable before Sep12; S:starts not measured"
CAMPAIGN,120250540492410660,Main property,2026-08-25,156.07,4739,45,32.93,0.95,3.47,7,7,,,22.3,22.3,,"O:observed browser sessions, not certified humans; C:CRM confirmed, attribution/time limits; T:session telemetry unavailable before Sep12; S:starts not measured"
CAMPAIGN,120250540492410660,Main property,2026-08-26,114.54,3413,32,33.56,0.938,3.58,6,6,,,19.09,19.09,,"O:observed browser sessions, not certified humans; C:CRM confirmed, attribution/time limits; T:session telemetry unavailable before Sep12; S:starts not measured"
CAMPAIGN,120250540492410660,Main property,2026-08-27,142.5,4338,48,32.85,1.107,2.97,9,9,,,15.83,15.83,,"O:observed browser sessions, not certified humans; C:CRM confirmed, attribution/time limits; T:session telemetry unavailable before Sep12; S:starts not measured"
CAMPAIGN,120250540492410660,Main property,2026-08-28,135.27,3854,48,35.1,1.245,2.82,14,12,,,9.66,11.27,,"O:observed browser sessions, not certified humans; C:CRM confirmed, attribution/time limits; T:session telemetry unavailable before Sep12; S:starts not measured"
CAMPAIGN,120250540492410660,Main property,2026-08-29,126.56,4401,34,28.76,0.773,3.72,4,4,,,31.64,31.64,,"O:observed browser sessions, not certified humans; C:CRM confirmed, attribution/time limits; T:session telemetry unavailable before Sep12; S:starts not measured"
CAMPAIGN,120250540492410660,Main property,2026-08-30,196.33,7068,50,27.78,0.707,3.93,5,5,,,39.27,39.27,,"O:observed browser sessions, not certified humans; C:CRM confirmed, attribution/time limits; T:session telemetry unavailable before Sep12; S:starts not measured"
CAMPAIGN,120250540492410660,Main property,2026-08-31,147.32,4827,53,30.52,1.098,2.78,12,11,,,12.28,13.39,,"O:observed browser sessions, not certified humans; C:CRM confirmed, attribution/time limits; T:session telemetry unavailable before Sep12; S:starts not measured"
CAMPAIGN,120250540492410660,Main property,2026-09-01,152.71,4598,46,33.21,1.0,3.32,7,7,,,21.82,21.82,,"O:observed browser sessions, not certified humans; C:CRM confirmed, attribution/time limits; T:session telemetry unavailable before Sep12; S:starts not measured"
CAMPAIGN,120250540492410660,Main property,2026-09-02,153.96,4508,54,34.15,1.198,2.85,6,6,,,25.66,25.66,,"O:observed browser sessions, not certified humans; C:CRM confirmed, attribution/time limits; T:session telemetry unavailable before Sep12; S:starts not measured"
CAMPAIGN,120250540492410660,Main property,2026-09-03,304.44,10902,114,27.93,1.046,2.67,17,17,,,17.91,17.91,,"O:observed browser sessions, not certified humans; C:CRM confirmed, attribution/time limits; T:session telemetry unavailable before Sep12; S:starts not measured"
CAMPAIGN,120250540492410660,Main property,2026-09-04,211.54,6558,64,32.26,0.976,3.31,3,2,,,70.51,105.77,,"O:observed browser sessions, not certified humans; C:CRM confirmed, attribution/time limits; T:session telemetry unavailable before Sep12; S:starts not measured"
CAMPAIGN,120250540492410660,Main property,2026-09-05,230.14,6872,81,33.49,1.179,2.84,9,9,,,25.57,25.57,,"O:observed browser sessions, not certified humans; C:CRM confirmed, attribution/time limits; T:session telemetry unavailable before Sep12; S:starts not measured"
CAMPAIGN,120250540492410660,Main property,2026-09-06,298.69,10062,90,29.68,0.894,3.32,14,14,,,21.34,21.34,,"O:observed browser sessions, not certified humans; C:CRM confirmed, attribution/time limits; T:session telemetry unavailable before Sep12; S:starts not measured"
CAMPAIGN,120250540492410660,Main property,2026-09-07,266.34,8876,93,30.01,1.048,2.86,11,11,,,24.21,24.21,,"O:observed browser sessions, not certified humans; C:CRM confirmed, attribution/time limits; T:session telemetry unavailable before Sep12; S:starts not measured"
CAMPAIGN,120250540492410660,Main property,2026-09-08,227.51,7132,61,31.9,0.855,3.73,9,9,,,25.28,25.28,,"O:observed browser sessions, not certified humans; C:CRM confirmed, attribution/time limits; T:session telemetry unavailable before Sep12; S:starts not measured"
CAMPAIGN,120250540492410660,Main property,2026-09-09,231.66,5764,58,40.19,1.006,3.99,6,6,,,38.61,38.61,,"O:observed browser sessions, not certified humans; C:CRM confirmed, attribution/time limits; T:session telemetry unavailable before Sep12; S:starts not measured"
CAMPAIGN,120250540492410660,Main property,2026-09-10,246.99,6281,80,39.32,1.274,3.09,9,8,,,27.44,30.87,,"O:observed browser sessions, not certified humans; C:CRM confirmed, attribution/time limits; T:session telemetry unavailable before Sep12; S:starts not measured"
CAMPAIGN,120250540492410660,Main property,2026-09-11,233.38,5876,51,39.72,0.868,4.58,7,7,,,33.34,33.34,,"O:observed browser sessions, not certified humans; C:CRM confirmed, attribution/time limits; T:session telemetry unavailable before Sep12; S:starts not measured"
CAMPAIGN,120250540492410660,Main property,2026-09-12,183.95,5286,53,34.8,1.003,3.47,7,7,,9,26.28,26.28,,"O:observed browser sessions, not certified humans; C:CRM confirmed, attribution/time limits; T:partial tracking Sep12; S:starts not measured"
CAMPAIGN,120250540492410660,Main property,2026-09-13,163.85,4883,41,33.56,0.84,4.0,7,6,,38,23.41,27.31,,"O:observed browser sessions, not certified humans; C:CRM confirmed, attribution/time limits; S:starts not measured"
CAMPAIGN,120250540492410660,Main property,2026-09-14,179.4,4445,48,40.36,1.08,3.74,7,7,,40,25.63,25.63,,"O:observed browser sessions, not certified humans; C:CRM confirmed, attribution/time limits; S:starts not measured"
CAMPAIGN,120250540492410660,Main property,2026-09-15,166.33,4057,40,41.0,0.986,4.16,5,5,,41,33.27,33.27,,"O:observed browser sessions, not certified humans; C:CRM confirmed, attribution/time limits; S:starts not measured"
CAMPAIGN,120250540492410660,Main property,2026-09-16,165.29,3813,53,43.35,1.39,3.12,9,9,,47,18.37,18.37,,"O:observed browser sessions, not certified humans; C:CRM confirmed, attribution/time limits; S:starts not measured"
CAMPAIGN,120250540492410660,Main property,2026-09-17,149.02,3824,42,38.97,1.098,3.55,8,8,,45,18.63,18.63,,"O:observed browser sessions, not certified humans; C:CRM confirmed, attribution/time limits; S:starts not measured"
CAMPAIGN,120250540492410660,Main property,2026-09-18,153.48,4902,47,31.31,0.959,3.27,4,4,,44,38.37,38.37,,"O:observed browser sessions, not certified humans; C:CRM confirmed, attribution/time limits; S:starts not measured"
CAMPAIGN,120250602165530660,Retained HIGH-VALUE,2026-08-13,37.46,1276,14,29.36,1.097,2.68,0,0,,,,,,"O:observed browser sessions, not certified humans; C:CRM confirmed, attribution/time limits; T:session telemetry unavailable before Sep12; S:starts not measured"
CAMPAIGN,120250602165530660,Retained HIGH-VALUE,2026-08-14,375.73,10583,114,35.5,1.077,3.3,0,0,,,,,,"O:observed browser sessions, not certified humans; C:CRM confirmed, attribution/time limits; T:session telemetry unavailable before Sep12; S:starts not measured"
CAMPAIGN,120250602165530660,Retained HIGH-VALUE,2026-08-15,290.57,8158,82,35.62,1.005,3.54,0,0,,,,,,"O:observed browser sessions, not certified humans; C:CRM confirmed, attribution/time limits; T:session telemetry unavailable before Sep12; S:starts not measured"
CAMPAIGN,120250602165530660,Retained HIGH-VALUE,2026-08-16,512.81,11356,100,45.16,0.881,5.13,0,0,,,,,,"O:observed browser sessions, not certified humans; C:CRM confirmed, attribution/time limits; T:session telemetry unavailable before Sep12; S:starts not measured"
CAMPAIGN,120250602165530660,Retained HIGH-VALUE,2026-08-17,327.38,8146,71,40.19,0.872,4.61,5,5,,,65.48,65.48,,"O:observed browser sessions, not certified humans; C:CRM confirmed, attribution/time limits; T:session telemetry unavailable before Sep12; S:starts not measured"
CAMPAIGN,120250602165530660,Retained HIGH-VALUE,2026-08-18,358.63,8265,56,43.39,0.678,6.4,6,6,,,59.77,59.77,,"O:observed browser sessions, not certified humans; C:CRM confirmed, attribution/time limits; T:session telemetry unavailable before Sep12; S:starts not measured"
CAMPAIGN,120250602165530660,Retained HIGH-VALUE,2026-08-19,346.5,7009,54,49.44,0.77,6.42,3,3,,,115.5,115.5,,"O:observed browser sessions, not certified humans; C:CRM confirmed, attribution/time limits; T:session telemetry unavailable before Sep12; S:starts not measured"
CAMPAIGN,120250602165530660,Retained HIGH-VALUE,2026-08-20,173.28,4126,33,42.0,0.8,5.25,3,3,,,57.76,57.76,,"O:observed browser sessions, not certified humans; C:CRM confirmed, attribution/time limits; T:session telemetry unavailable before Sep12; S:starts not measured"
CAMPAIGN,120250602165530660,Retained HIGH-VALUE,2026-08-21,211.5,4965,50,42.6,1.007,4.23,4,4,,,52.88,52.88,,"O:observed browser sessions, not certified humans; C:CRM confirmed, attribution/time limits; T:session telemetry unavailable before Sep12; S:starts not measured"
CAMPAIGN,120250602165530660,Retained HIGH-VALUE,2026-08-22,131.86,3316,31,39.76,0.935,4.25,6,6,,,21.98,21.98,,"O:observed browser sessions, not certified humans; C:CRM confirmed, attribution/time limits; T:session telemetry unavailable before Sep12; S:starts not measured"
CAMPAIGN,120250602165530660,Retained HIGH-VALUE,2026-08-23,238.72,6017,56,39.67,0.931,4.26,3,3,,,79.57,79.57,,"O:observed browser sessions, not certified humans; C:CRM confirmed, attribution/time limits; T:session telemetry unavailable before Sep12; S:starts not measured"
CAMPAIGN,120250602165530660,Retained HIGH-VALUE,2026-08-24,279.05,9204,101,30.32,1.097,2.76,7,7,,,39.86,39.86,,"O:observed browser sessions, not certified humans; C:CRM confirmed, attribution/time limits; T:session telemetry unavailable before Sep12; S:starts not measured"
CAMPAIGN,120250602165530660,Retained HIGH-VALUE,2026-08-25,207.19,6274,65,33.02,1.036,3.19,3,3,,,69.06,69.06,,"O:observed browser sessions, not certified humans; C:CRM confirmed, attribution/time limits; T:session telemetry unavailable before Sep12; S:starts not measured"
CAMPAIGN,120250602165530660,Retained HIGH-VALUE,2026-08-26,238.11,6381,56,37.32,0.878,4.25,3,3,,,79.37,79.37,,"O:observed browser sessions, not certified humans; C:CRM confirmed, attribution/time limits; T:session telemetry unavailable before Sep12; S:starts not measured"
CAMPAIGN,120250602165530660,Retained HIGH-VALUE,2026-08-27,285.89,8785,91,32.54,1.036,3.14,7,7,,,40.84,40.84,,"O:observed browser sessions, not certified humans; C:CRM confirmed, attribution/time limits; T:session telemetry unavailable before Sep12; S:starts not measured"
CAMPAIGN,120250602165530660,Retained HIGH-VALUE,2026-08-28,233.82,6464,47,36.17,0.727,4.97,3,3,,,77.94,77.94,,"O:observed browser sessions, not certified humans; C:CRM confirmed, attribution/time limits; T:session telemetry unavailable before Sep12; S:starts not measured"
CAMPAIGN,120250602165530660,Retained HIGH-VALUE,2026-08-29,207.97,6802,54,30.57,0.794,3.85,6,6,,,34.66,34.66,,"O:observed browser sessions, not certified humans; C:CRM confirmed, attribution/time limits; T:session telemetry unavailable before Sep12; S:starts not measured"
CAMPAIGN,120250602165530660,Retained HIGH-VALUE,2026-08-30,297.37,9959,93,29.86,0.934,3.2,10,10,,,29.74,29.74,,"O:observed browser sessions, not certified humans; C:CRM confirmed, attribution/time limits; T:session telemetry unavailable before Sep12; S:starts not measured"
CAMPAIGN,120250602165530660,Retained HIGH-VALUE,2026-08-31,291.56,10497,98,27.78,0.934,2.98,4,4,,,72.89,72.89,,"O:observed browser sessions, not certified humans; C:CRM confirmed, attribution/time limits; T:session telemetry unavailable before Sep12; S:starts not measured"
CAMPAIGN,120250602165530660,Retained HIGH-VALUE,2026-09-01,265.3,9081,58,29.21,0.639,4.57,4,4,,,66.33,66.33,,"O:observed browser sessions, not certified humans; C:CRM confirmed, attribution/time limits; T:session telemetry unavailable before Sep12; S:starts not measured"
CAMPAIGN,120250602165530660,Retained HIGH-VALUE,2026-09-02,241.48,8526,57,28.32,0.669,4.24,2,2,,,120.74,120.74,,"O:observed browser sessions, not certified humans; C:CRM confirmed, attribution/time limits; T:session telemetry unavailable before Sep12; S:starts not measured"
CAMPAIGN,120250602165530660,Retained HIGH-VALUE,2026-09-03,352.38,8637,50,40.8,0.579,7.05,4,4,,,88.09,88.09,,"O:observed browser sessions, not certified humans; C:CRM confirmed, attribution/time limits; T:session telemetry unavailable before Sep12; S:starts not measured"
CAMPAIGN,120250602165530660,Retained HIGH-VALUE,2026-09-04,331.35,7802,43,42.47,0.551,7.71,2,2,,,165.68,165.68,,"O:observed browser sessions, not certified humans; C:CRM confirmed, attribution/time limits; T:session telemetry unavailable before Sep12; S:starts not measured"
CAMPAIGN,120250602165530660,Retained HIGH-VALUE,2026-09-05,319.75,8013,40,39.9,0.499,7.99,2,2,,,159.88,159.88,,"O:observed browser sessions, not certified humans; C:CRM confirmed, attribution/time limits; T:session telemetry unavailable before Sep12; S:starts not measured"
CAMPAIGN,120250602165530660,Retained HIGH-VALUE,2026-09-06,427.21,7984,55,53.51,0.689,7.77,3,3,,,142.4,142.4,,"O:observed browser sessions, not certified humans; C:CRM confirmed, attribution/time limits; T:session telemetry unavailable before Sep12; S:starts not measured"
CAMPAIGN,120250602165530660,Retained HIGH-VALUE,2026-09-07,386.18,6844,46,56.43,0.672,8.4,5,5,,,77.24,77.24,,"O:observed browser sessions, not certified humans; C:CRM confirmed, attribution/time limits; T:session telemetry unavailable before Sep12; S:starts not measured"
CAMPAIGN,120250602165530660,Retained HIGH-VALUE,2026-09-08,325.47,6623,35,49.14,0.528,9.3,0,0,,,,,,"O:observed browser sessions, not certified humans; C:CRM confirmed, attribution/time limits; T:session telemetry unavailable before Sep12; S:starts not measured"
CAMPAIGN,120250602165530660,Retained HIGH-VALUE,2026-09-09,479.08,9579,66,50.01,0.689,7.26,3,2,,,159.69,239.54,,"O:observed browser sessions, not certified humans; C:CRM confirmed, attribution/time limits; T:session telemetry unavailable before Sep12; S:starts not measured"
CAMPAIGN,120250602165530660,Retained HIGH-VALUE,2026-09-10,481.66,10878,65,44.28,0.598,7.41,4,4,,,120.42,120.42,,"O:observed browser sessions, not certified humans; C:CRM confirmed, attribution/time limits; T:session telemetry unavailable before Sep12; S:starts not measured"
CAMPAIGN,120250602165530660,Retained HIGH-VALUE,2026-09-11,897.2,20636,107,43.48,0.519,8.39,2,2,,,448.6,448.6,,"O:observed browser sessions, not certified humans; C:CRM confirmed, attribution/time limits; T:session telemetry unavailable before Sep12; S:starts not measured"
CAMPAIGN,120250602165530660,Retained HIGH-VALUE,2026-09-12,552.74,12060,81,45.83,0.672,6.82,4,4,,13,138.19,138.19,,"O:observed browser sessions, not certified humans; C:CRM confirmed, attribution/time limits; T:partial tracking Sep12; S:starts not measured"
CAMPAIGN,120250602165530660,Retained HIGH-VALUE,2026-09-13,494.15,9923,55,49.8,0.554,8.98,1,1,,50,494.15,494.15,,"O:observed browser sessions, not certified humans; C:CRM confirmed, attribution/time limits; S:starts not measured"
CAMPAIGN,120250602165530660,Retained HIGH-VALUE,2026-09-14,373.13,6744,33,55.33,0.489,11.31,2,2,,35,186.56,186.56,,"O:observed browser sessions, not certified humans; C:CRM confirmed, attribution/time limits; S:starts not measured"
CAMPAIGN,120250602165530660,Retained HIGH-VALUE,2026-09-15,415.73,8428,43,49.33,0.51,9.67,3,3,,42,138.58,138.58,,"O:observed browser sessions, not certified humans; C:CRM confirmed, attribution/time limits; S:starts not measured"
CAMPAIGN,120250602165530660,Retained HIGH-VALUE,2026-09-16,433.04,8118,49,53.34,0.604,8.84,1,1,,55,433.04,433.04,,"O:observed browser sessions, not certified humans; C:CRM confirmed, attribution/time limits; S:starts not measured"
CAMPAIGN,120250602165530660,Retained HIGH-VALUE,2026-09-17,410.82,6088,32,67.48,0.526,12.84,1,1,,38,410.82,410.82,,"O:observed browser sessions, not certified humans; C:CRM confirmed, attribution/time limits; S:starts not measured"
CAMPAIGN,120250602165530660,Retained HIGH-VALUE,2026-09-18,333.66,4887,29,68.28,0.593,11.51,0,0,,28,,,,"O:observed browser sessions, not certified humans; C:CRM confirmed, attribution/time limits; S:starts not measured"
CAMPAIGN,120251080550890660,HVAC,2026-09-13,150.7,2925,9,51.52,0.308,16.74,1,1,1,16,150.7,150.7,150.7,"O:observed browser sessions, not certified humans; C:CRM confirmed, attribution/time limits; V:form versions change Sep18"
CAMPAIGN,120251080550890660,HVAC,2026-09-14,148.51,3445,22,43.11,0.639,6.75,2,2,3,23,74.25,74.25,49.5,"O:observed browser sessions, not certified humans; C:CRM confirmed, attribution/time limits; V:form versions change Sep18"
CAMPAIGN,120251080550890660,HVAC,2026-09-15,123.9,2823,11,43.89,0.39,11.26,1,1,2,12,123.9,123.9,61.95,"O:observed browser sessions, not certified humans; C:CRM confirmed, attribution/time limits; V:form versions change Sep18"
CAMPAIGN,120251080550890660,HVAC,2026-09-16,101.91,1824,9,55.87,0.493,11.32,0,0,0,7,,,,"O:observed browser sessions, not certified humans; C:CRM confirmed, attribution/time limits; V:form versions change Sep18"
CAMPAIGN,120251080550890660,HVAC,2026-09-17,97.46,1673,11,58.25,0.658,8.86,1,1,1,11,97.46,97.46,97.46,"O:observed browser sessions, not certified humans; C:CRM confirmed, attribution/time limits; V:form versions change Sep18"
CAMPAIGN,120251080550890660,HVAC,2026-09-18,120.85,2417,21,50.0,0.869,5.75,0,0,1,20,,,120.85,"O:observed browser sessions, not certified humans; C:CRM confirmed, attribution/time limits; V:form versions change Sep18"
CAMPAIGN,120251080550480660,Painting,2026-09-13,134.9,1903,4,70.89,0.21,33.73,0,0,1,5,,,134.9,"O:observed browser sessions, not certified humans; C:CRM confirmed, attribution/time limits; V:form versions change Sep18"
CAMPAIGN,120251080550480660,Painting,2026-09-14,141.26,1734,10,81.46,0.577,14.13,0,0,0,9,,,,"O:observed browser sessions, not certified humans; C:CRM confirmed, attribution/time limits; V:form versions change Sep18"
CAMPAIGN,120251080550480660,Painting,2026-09-15,138.88,2231,15,62.25,0.672,9.26,3,3,3,19,46.29,46.29,46.29,"O:observed browser sessions, not certified humans; C:CRM confirmed, attribution/time limits; V:form versions change Sep18"
CAMPAIGN,120251080550480660,Painting,2026-09-16,118.0,2110,22,55.92,1.043,5.36,1,1,3,22,118.0,118.0,39.33,"O:observed browser sessions, not certified humans; C:CRM confirmed, attribution/time limits; V:form versions change Sep18"
CAMPAIGN,120251080550480660,Painting,2026-09-17,83.5,1323,10,63.11,0.756,8.35,0,0,0,10,,,,"O:observed browser sessions, not certified humans; C:CRM confirmed, attribution/time limits; V:form versions change Sep18"
CAMPAIGN,120251080550480660,Painting,2026-09-18,116.18,1931,9,60.17,0.466,12.91,0,0,2,10,,,58.09,"O:observed browser sessions, not certified humans; C:CRM confirmed, attribution/time limits; V:form versions change Sep18"
CAMPAIGN,120251001083740660,Metro property,2026-09-08,257.77,7408,56,34.8,0.756,4.6,7,5,,,36.82,51.55,,"O:observed browser sessions, not certified humans; C:CRM confirmed, attribution/time limits; T:session telemetry unavailable before Sep12; S:starts not measured"
CAMPAIGN,120251001083740660,Metro property,2026-09-09,473.66,12165,71,38.94,0.584,6.67,9,9,,,52.63,52.63,,"O:observed browser sessions, not certified humans; C:CRM confirmed, attribution/time limits; T:session telemetry unavailable before Sep12; S:starts not measured"
CAMPAIGN,120251001083740660,Metro property,2026-09-10,363.09,10399,49,34.92,0.471,7.41,5,5,,,72.62,72.62,,"O:observed browser sessions, not certified humans; C:CRM confirmed, attribution/time limits; T:session telemetry unavailable before Sep12; S:starts not measured"
CAMPAIGN,120251001083740660,Metro property,2026-09-11,341.56,9126,60,37.43,0.657,5.69,7,7,,,48.79,48.79,,"O:observed browser sessions, not certified humans; C:CRM confirmed, attribution/time limits; T:session telemetry unavailable before Sep12; S:starts not measured"
CAMPAIGN,120251001083740660,Metro property,2026-09-12,137.01,3675,26,37.28,0.707,5.27,2,2,,0,68.5,68.5,,"O:observed browser sessions, not certified humans; C:CRM confirmed, attribution/time limits; T:partial tracking Sep12; S:starts not measured"
CAMPAIGN,120251001083740660,Metro property,2026-09-13,48.32,1084,4,44.58,0.369,12.08,1,1,,3,48.32,48.32,,"O:observed browser sessions, not certified humans; C:CRM confirmed, attribution/time limits; S:starts not measured"
CAMPAIGN,120251001083740660,Metro property,2026-09-14,50.31,1158,7,43.45,0.604,7.19,1,1,,7,50.31,50.31,,"O:observed browser sessions, not certified humans; C:CRM confirmed, attribution/time limits; S:starts not measured"
CAMPAIGN,120251001083740660,Metro property,2026-09-15,40.69,972,4,41.86,0.412,10.17,1,1,,4,40.69,40.69,,"O:observed browser sessions, not certified humans; C:CRM confirmed, attribution/time limits; S:starts not measured"
