level,object_id,campaign_id,day_ET,spend,impressions,link_clicks,CPM,link_CTR_pct,link_CPC,completed,new_acquisitions,completed_CPL,observed_sessions,observed_starts,measurement_flags
AD,120250540502680660,120250540492410660,2026-08-19,0.16,2,0,80.0,0.0,,0,0,,,,Sessions beforeSep12 unavailable; Sep12 partial; property/retained starts unavailable; outcomes use occurrence day and exact stored IDs.
AD,120250540502680660,120250540492410660,2026-09-08,62.03,1423,14,43.59,0.984,4.43,3,3,20.68,,,Sessions beforeSep12 unavailable; Sep12 partial; property/retained starts unavailable; outcomes use occurrence day and exact stored IDs.
AD,120250540502680660,120250540492410660,2026-09-09,74.4,1507,15,49.37,0.995,4.96,3,3,24.8,,,Sessions beforeSep12 unavailable; Sep12 partial; property/retained starts unavailable; outcomes use occurrence day and exact stored IDs.
AD,120250540502680660,120250540492410660,2026-09-10,63.57,1269,19,50.09,1.497,3.35,4,3,15.89,,,Sessions beforeSep12 unavailable; Sep12 partial; property/retained starts unavailable; outcomes use occurrence day and exact stored IDs.
AD,120250540502680660,120250540492410660,2026-09-11,79.92,1458,16,54.81,1.097,5.0,1,1,79.92,,,Sessions beforeSep12 unavailable; Sep12 partial; property/retained starts unavailable; outcomes use occurrence day and exact stored IDs.
AD,120250540502680660,120250540492410660,2026-09-12,49.79,861,10,57.83,1.161,4.98,2,2,24.89,0,,Sessions beforeSep12 unavailable; Sep12 partial; property/retained starts unavailable; outcomes use occurrence day and exact stored IDs.
AD,120250540502680660,120250540492410660,2026-09-13,16.5,286,3,57.69,1.049,5.5,1,1,16.5,2,,Sessions beforeSep12 unavailable; Sep12 partial; property/retained starts unavailable; outcomes use occurrence day and exact stored IDs.
AD,120250540502680660,120250540492410660,2026-09-14,23.22,362,5,64.14,1.381,4.64,1,1,23.22,3,,Sessions beforeSep12 unavailable; Sep12 partial; property/retained starts unavailable; outcomes use occurrence day and exact stored IDs.
AD,120250540502680660,120250540492410660,2026-09-15,35.98,603,3,59.67,0.498,11.99,0,0,,3,,Sessions beforeSep12 unavailable; Sep12 partial; property/retained starts unavailable; outcomes use occurrence day and exact stored IDs.
AD,120250540502680660,120250540492410660,2026-09-16,35.21,547,7,64.37,1.28,5.03,2,2,17.61,8,,Sessions beforeSep12 unavailable; Sep12 partial; property/retained starts unavailable; outcomes use occurrence day and exact stored IDs.
AD,120250540502680660,120250540492410660,2026-09-17,34.08,525,10,64.91,1.905,3.41,2,2,17.04,11,,Sessions beforeSep12 unavailable; Sep12 partial; property/retained starts unavailable; outcomes use occurrence day and exact stored IDs.
AD,120250540502680660,120250540492410660,2026-09-18,32.37,552,8,58.64,1.449,4.05,1,1,32.37,7,,Sessions beforeSep12 unavailable; Sep12 partial; property/retained starts unavailable; outcomes use occurrence day and exact stored IDs.
AD,120250540503280660,120250540492410660,2026-08-18,0.13,6,0,21.67,0.0,,0,0,,,,Sessions beforeSep12 unavailable; Sep12 partial; property/retained starts unavailable; outcomes use occurrence day and exact stored IDs.
AD,120250540503280660,120250540492410660,2026-08-19,0.56,4,0,140.0,0.0,,0,0,,,,Sessions beforeSep12 unavailable; Sep12 partial; property/retained starts unavailable; outcomes use occurrence day and exact stored IDs.
AD,120250540503280660,120250540492410660,2026-08-20,0.14,3,0,46.67,0.0,,0,0,,,,Sessions beforeSep12 unavailable; Sep12 partial; property/retained starts unavailable; outcomes use occurrence day and exact stored IDs.
AD,120250540503280660,120250540492410660,2026-08-22,0.03,1,0,30.0,0.0,,0,0,,,,Sessions beforeSep12 unavailable; Sep12 partial; property/retained starts unavailable; outcomes use occurrence day and exact stored IDs.
AD,120250540503280660,120250540492410660,2026-08-25,0.08,2,0,40.0,0.0,,0,0,,,,Sessions beforeSep12 unavailable; Sep12 partial; property/retained starts unavailable; outcomes use occurrence day and exact stored IDs.
AD,120250540503280660,120250540492410660,2026-08-27,0.05,1,0,50.0,0.0,,0,0,,,,Sessions beforeSep12 unavailable; Sep12 partial; property/retained starts unavailable; outcomes use occurrence day and exact stored IDs.
AD,120250540503280660,120250540492410660,2026-08-28,0.09,2,0,45.0,0.0,,0,0,,,,Sessions beforeSep12 unavailable; Sep12 partial; property/retained starts unavailable; outcomes use occurrence day and exact stored IDs.
AD,120250540503280660,120250540492410660,2026-09-02,0.08,3,0,26.67,0.0,,0,0,,,,Sessions beforeSep12 unavailable; Sep12 partial; property/retained starts unavailable; outcomes use occurrence day and exact stored IDs.
AD,120250540503280660,120250540492410660,2026-09-03,0.19,2,0,95.0,0.0,,0,0,,,,Sessions beforeSep12 unavailable; Sep12 partial; property/retained starts unavailable; outcomes use occurrence day and exact stored IDs.
AD,120250540503280660,120250540492410660,2026-09-09,0.05,1,0,50.0,0.0,,0,0,,,,Sessions beforeSep12 unavailable; Sep12 partial; property/retained starts unavailable; outcomes use occurrence day and exact stored IDs.
AD,120250540503280660,120250540492410660,2026-09-11,0.05,2,0,25.0,0.0,,0,0,,,,Sessions beforeSep12 unavailable; Sep12 partial; property/retained starts unavailable; outcomes use occurrence day and exact stored IDs.
AD,120250540503280660,120250540492410660,2026-09-16,0.23,5,0,46.0,0.0,,0,0,,0,,Sessions beforeSep12 unavailable; Sep12 partial; property/retained starts unavailable; outcomes use occurrence day and exact stored IDs.
AD,120250540504110660,120250540492410660,2026-08-18,0.57,7,0,81.43,0.0,,0,0,,,,Sessions beforeSep12 unavailable; Sep12 partial; property/retained starts unavailable; outcomes use occurrence day and exact stored IDs.
AD,120250540504110660,120250540492410660,2026-08-19,0.26,7,0,37.14,0.0,,0,0,,,,Sessions beforeSep12 unavailable; Sep12 partial; property/retained starts unavailable; outcomes use occurrence day and exact stored IDs.
AD,120250540504110660,120250540492410660,2026-08-20,0.07,1,0,70.0,0.0,,0,0,,,,Sessions beforeSep12 unavailable; Sep12 partial; property/retained starts unavailable; outcomes use occurrence day and exact stored IDs.
AD,120250540504110660,120250540492410660,2026-09-11,0.06,1,0,60.0,0.0,,0,0,,,,Sessions beforeSep12 unavailable; Sep12 partial; property/retained starts unavailable; outcomes use occurrence day and exact stored IDs.
AD,120250540504110660,120250540492410660,2026-09-16,0.03,2,0,15.0,0.0,,0,0,,0,,Sessions beforeSep12 unavailable; Sep12 partial; property/retained starts unavailable; outcomes use occurrence day and exact stored IDs.
AD,120250540504870660,120250540492410660,2026-08-20,0.04,1,0,40.0,0.0,,0,0,,,,Sessions beforeSep12 unavailable; Sep12 partial; property/retained starts unavailable; outcomes use occurrence day and exact stored IDs.
AD,120250540504870660,120250540492410660,2026-08-23,0.02,1,0,20.0,0.0,,0,0,,,,Sessions beforeSep12 unavailable; Sep12 partial; property/retained starts unavailable; outcomes use occurrence day and exact stored IDs.
AD,120250540504870660,120250540492410660,2026-08-29,0.0,1,0,0.0,0.0,,0,0,,,,Sessions beforeSep12 unavailable; Sep12 partial; property/retained starts unavailable; outcomes use occurrence day and exact stored IDs.
AD,120250540504870660,120250540492410660,2026-08-30,0.03,3,0,10.0,0.0,,0,0,,,,Sessions beforeSep12 unavailable; Sep12 partial; property/retained starts unavailable; outcomes use occurrence day and exact stored IDs.
AD,120250540504870660,120250540492410660,2026-09-02,0.02,1,0,20.0,0.0,,0,0,,,,Sessions beforeSep12 unavailable; Sep12 partial; property/retained starts unavailable; outcomes use occurrence day and exact stored IDs.
AD,120250540504870660,120250540492410660,2026-09-03,0.18,4,0,45.0,0.0,,0,0,,,,Sessions beforeSep12 unavailable; Sep12 partial; property/retained starts unavailable; outcomes use occurrence day and exact stored IDs.
AD,120250540504870660,120250540492410660,2026-09-07,0.06,1,0,60.0,0.0,,0,0,,,,Sessions beforeSep12 unavailable; Sep12 partial; property/retained starts unavailable; outcomes use occurrence day and exact stored IDs.
AD,120250540504870660,120250540492410660,2026-09-08,0.07,4,0,17.5,0.0,,0,0,,,,Sessions beforeSep12 unavailable; Sep12 partial; property/retained starts unavailable; outcomes use occurrence day and exact stored IDs.
AD,120250540504870660,120250540492410660,2026-09-10,0.19,4,0,47.5,0.0,,0,0,,,,Sessions beforeSep12 unavailable; Sep12 partial; property/retained starts unavailable; outcomes use occurrence day and exact stored IDs.
AD,120250540504870660,120250540492410660,2026-09-12,0.05,1,0,50.0,0.0,,0,0,,0,,Sessions beforeSep12 unavailable; Sep12 partial; property/retained starts unavailable; outcomes use occurrence day and exact stored IDs.
AD,120250540504870660,120250540492410660,2026-09-13,0.06,2,0,30.0,0.0,,0,0,,0,,Sessions beforeSep12 unavailable; Sep12 partial; property/retained starts unavailable; outcomes use occurrence day and exact stored IDs.
AD,120250540504870660,120250540492410660,2026-09-15,0.06,2,0,30.0,0.0,,0,0,,0,,Sessions beforeSep12 unavailable; Sep12 partial; property/retained starts unavailable; outcomes use occurrence day and exact stored IDs.
AD,120250540504870660,120250540492410660,2026-09-17,0.03,1,0,30.0,0.0,,0,0,,0,,Sessions beforeSep12 unavailable; Sep12 partial; property/retained starts unavailable; outcomes use occurrence day and exact stored IDs.
AD,120250540505400660,120250540492410660,2026-08-18,1.52,45,0,33.78,0.0,,0,0,,,,Sessions beforeSep12 unavailable; Sep12 partial; property/retained starts unavailable; outcomes use occurrence day and exact stored IDs.
AD,120250540505400660,120250540492410660,2026-08-19,0.06,2,0,30.0,0.0,,0,0,,,,Sessions beforeSep12 unavailable; Sep12 partial; property/retained starts unavailable; outcomes use occurrence day and exact stored IDs.
AD,120250540505400660,120250540492410660,2026-08-20,0.04,1,0,40.0,0.0,,0,0,,,,Sessions beforeSep12 unavailable; Sep12 partial; property/retained starts unavailable; outcomes use occurrence day and exact stored IDs.
AD,120250540505400660,120250540492410660,2026-08-30,0.01,1,0,10.0,0.0,,0,0,,,,Sessions beforeSep12 unavailable; Sep12 partial; property/retained starts unavailable; outcomes use occurrence day and exact stored IDs.
AD,120250540505400660,120250540492410660,2026-09-04,0.04,1,0,40.0,0.0,,0,0,,,,Sessions beforeSep12 unavailable; Sep12 partial; property/retained starts unavailable; outcomes use occurrence day and exact stored IDs.
AD,120250540505400660,120250540492410660,2026-09-10,0.06,2,0,30.0,0.0,,0,0,,,,Sessions beforeSep12 unavailable; Sep12 partial; property/retained starts unavailable; outcomes use occurrence day and exact stored IDs.
AD,120250540505400660,120250540492410660,2026-09-15,0.12,3,0,40.0,0.0,,0,0,,0,,Sessions beforeSep12 unavailable; Sep12 partial; property/retained starts unavailable; outcomes use occurrence day and exact stored IDs.
AD,120250540505400660,120250540492410660,2026-09-17,0.32,4,0,80.0,0.0,,0,0,,0,,Sessions beforeSep12 unavailable; Sep12 partial; property/retained starts unavailable; outcomes use occurrence day and exact stored IDs.
AD,120250540506300660,120250540492410660,2026-08-18,5.87,102,0,57.55,0.0,,0,0,,,,Sessions beforeSep12 unavailable; Sep12 partial; property/retained starts unavailable; outcomes use occurrence day and exact stored IDs.
AD,120250540506300660,120250540492410660,2026-08-19,0.71,17,0,41.76,0.0,,0,0,,,,Sessions beforeSep12 unavailable; Sep12 partial; property/retained starts unavailable; outcomes use occurrence day and exact stored IDs.
AD,120250540506300660,120250540492410660,2026-08-20,0.51,3,0,170.0,0.0,,0,0,,,,Sessions beforeSep12 unavailable; Sep12 partial; property/retained starts unavailable; outcomes use occurrence day and exact stored IDs.
AD,120250540506300660,120250540492410660,2026-08-21,0.03,1,0,30.0,0.0,,0,0,,,,Sessions beforeSep12 unavailable; Sep12 partial; property/retained starts unavailable; outcomes use occurrence day and exact stored IDs.
AD,120250540506300660,120250540492410660,2026-08-28,0.01,1,0,10.0,0.0,,0,0,,,,Sessions beforeSep12 unavailable; Sep12 partial; property/retained starts unavailable; outcomes use occurrence day and exact stored IDs.
AD,120250540506300660,120250540492410660,2026-08-30,0.03,1,0,30.0,0.0,,0,0,,,,Sessions beforeSep12 unavailable; Sep12 partial; property/retained starts unavailable; outcomes use occurrence day and exact stored IDs.
AD,120250540506300660,120250540492410660,2026-09-02,0.02,1,0,20.0,0.0,,0,0,,,,Sessions beforeSep12 unavailable; Sep12 partial; property/retained starts unavailable; outcomes use occurrence day and exact stored IDs.
AD,120250540506300660,120250540492410660,2026-09-04,0.02,1,0,20.0,0.0,,0,0,,,,Sessions beforeSep12 unavailable; Sep12 partial; property/retained starts unavailable; outcomes use occurrence day and exact stored IDs.
AD,120250540506300660,120250540492410660,2026-09-07,0.03,1,0,30.0,0.0,,0,0,,,,Sessions beforeSep12 unavailable; Sep12 partial; property/retained starts unavailable; outcomes use occurrence day and exact stored IDs.
AD,120250540506300660,120250540492410660,2026-09-09,0.02,1,0,20.0,0.0,,0,0,,,,Sessions beforeSep12 unavailable; Sep12 partial; property/retained starts unavailable; outcomes use occurrence day and exact stored IDs.
AD,120250540506300660,120250540492410660,2026-09-10,0.32,3,0,106.67,0.0,,0,0,,,,Sessions beforeSep12 unavailable; Sep12 partial; property/retained starts unavailable; outcomes use occurrence day and exact stored IDs.
AD,120250540506300660,120250540492410660,2026-09-15,0.0,1,0,0.0,0.0,,0,0,,0,,Sessions beforeSep12 unavailable; Sep12 partial; property/retained starts unavailable; outcomes use occurrence day and exact stored IDs.
AD,120250540506300660,120250540492410660,2026-09-16,0.04,1,0,40.0,0.0,,0,0,,0,,Sessions beforeSep12 unavailable; Sep12 partial; property/retained starts unavailable; outcomes use occurrence day and exact stored IDs.
AD,120250540506300660,120250540492410660,2026-09-17,0.06,2,0,30.0,0.0,,0,0,,0,,Sessions beforeSep12 unavailable; Sep12 partial; property/retained starts unavailable; outcomes use occurrence day and exact stored IDs.
AD,120250540510480660,120250540492410660,2026-08-26,0.01,1,0,10.0,0.0,,0,0,,,,Sessions beforeSep12 unavailable; Sep12 partial; property/retained starts unavailable; outcomes use occurrence day and exact stored IDs.
AD,120250540510480660,120250540492410660,2026-09-01,0.14,1,0,140.0,0.0,,0,0,,,,Sessions beforeSep12 unavailable; Sep12 partial; property/retained starts unavailable; outcomes use occurrence day and exact stored IDs.
AD,120250540510480660,120250540492410660,2026-09-04,0.01,1,0,10.0,0.0,,0,0,,,,Sessions beforeSep12 unavailable; Sep12 partial; property/retained starts unavailable; outcomes use occurrence day and exact stored IDs.
AD,120250540510480660,120250540492410660,2026-09-08,0.01,1,0,10.0,0.0,,0,0,,,,Sessions beforeSep12 unavailable; Sep12 partial; property/retained starts unavailable; outcomes use occurrence day and exact stored IDs.
AD,120250540510480660,120250540492410660,2026-09-09,0.06,2,0,30.0,0.0,,0,0,,,,Sessions beforeSep12 unavailable; Sep12 partial; property/retained starts unavailable; outcomes use occurrence day and exact stored IDs.
AD,120250540510480660,120250540492410660,2026-09-11,0.26,2,0,130.0,0.0,,0,0,,,,Sessions beforeSep12 unavailable; Sep12 partial; property/retained starts unavailable; outcomes use occurrence day and exact stored IDs.
AD,120250540510480660,120250540492410660,2026-09-14,0.05,2,0,25.0,0.0,,0,0,,0,,Sessions beforeSep12 unavailable; Sep12 partial; property/retained starts unavailable; outcomes use occurrence day and exact stored IDs.
AD,120250540510480660,120250540492410660,2026-09-16,0.53,2,0,265.0,0.0,,0,0,,0,,Sessions beforeSep12 unavailable; Sep12 partial; property/retained starts unavailable; outcomes use occurrence day and exact stored IDs.
AD,120250540510480660,120250540492410660,2026-09-18,0.36,4,0,90.0,0.0,,0,0,,0,,Sessions beforeSep12 unavailable; Sep12 partial; property/retained starts unavailable; outcomes use occurrence day and exact stored IDs.
AD,120250540511980660,120250540492410660,2026-08-18,0.05,2,0,25.0,0.0,,0,0,,,,Sessions beforeSep12 unavailable; Sep12 partial; property/retained starts unavailable; outcomes use occurrence day and exact stored IDs.
AD,120250540511980660,120250540492410660,2026-08-19,1.07,20,1,53.5,5.0,1.07,0,0,,,,Sessions beforeSep12 unavailable; Sep12 partial; property/retained starts unavailable; outcomes use occurrence day and exact stored IDs.
AD,120250540511980660,120250540492410660,2026-08-20,0.38,6,1,63.33,16.667,0.38,1,1,0.38,,,Sessions beforeSep12 unavailable; Sep12 partial; property/retained starts unavailable; outcomes use occurrence day and exact stored IDs.
AD,120250540511980660,120250540492410660,2026-08-22,1.41,38,0,37.11,0.0,,0,0,,,,Sessions beforeSep12 unavailable; Sep12 partial; property/retained starts unavailable; outcomes use occurrence day and exact stored IDs.
AD,120250540511980660,120250540492410660,2026-08-23,12.17,281,1,43.31,0.356,12.17,1,1,12.17,,,Sessions beforeSep12 unavailable; Sep12 partial; property/retained starts unavailable; outcomes use occurrence day and exact stored IDs.
AD,120250540511980660,120250540492410660,2026-08-24,9.68,309,2,31.33,0.647,4.84,0,0,,,,Sessions beforeSep12 unavailable; Sep12 partial; property/retained starts unavailable; outcomes use occurrence day and exact stored IDs.
AD,120250540511980660,120250540492410660,2026-08-25,7.94,233,1,34.08,0.429,7.94,0,0,,,,Sessions beforeSep12 unavailable; Sep12 partial; property/retained starts unavailable; outcomes use occurrence day and exact stored IDs.
AD,120250540511980660,120250540492410660,2026-08-26,1.51,38,0,39.74,0.0,,0,0,,,,Sessions beforeSep12 unavailable; Sep12 partial; property/retained starts unavailable; outcomes use occurrence day and exact stored IDs.
AD,120250540511980660,120250540492410660,2026-08-27,1.88,57,2,32.98,3.509,0.94,0,0,,,,Sessions beforeSep12 unavailable; Sep12 partial; property/retained starts unavailable; outcomes use occurrence day and exact stored IDs.
AD,120250540511980660,120250540492410660,2026-08-28,2.31,42,3,55.0,7.143,0.77,0,0,,,,Sessions beforeSep12 unavailable; Sep12 partial; property/retained starts unavailable; outcomes use occurrence day and exact stored IDs.
AD,120250540511980660,120250540492410660,2026-08-29,1.32,22,0,60.0,0.0,,0,0,,,,Sessions beforeSep12 unavailable; Sep12 partial; property/retained starts unavailable; outcomes use occurrence day and exact stored IDs.
AD,120250540511980660,120250540492410660,2026-08-30,1.41,34,0,41.47,0.0,,0,0,,,,Sessions beforeSep12 unavailable; Sep12 partial; property/retained starts unavailable; outcomes use occurrence day and exact stored IDs.
AD,120250540511980660,120250540492410660,2026-08-31,1.68,40,0,42.0,0.0,,0,0,,,,Sessions beforeSep12 unavailable; Sep12 partial; property/retained starts unavailable; outcomes use occurrence day and exact stored IDs.
AD,120250540511980660,120250540492410660,2026-09-01,1.1,21,1,52.38,4.762,1.1,0,0,,,,Sessions beforeSep12 unavailable; Sep12 partial; property/retained starts unavailable; outcomes use occurrence day and exact stored IDs.
AD,120250540511980660,120250540492410660,2026-09-02,0.74,22,0,33.64,0.0,,0,0,,,,Sessions beforeSep12 unavailable; Sep12 partial; property/retained starts unavailable; outcomes use occurrence day and exact stored IDs.
AD,120250540511980660,120250540492410660,2026-09-03,0.28,7,0,40.0,0.0,,0,0,,,,Sessions beforeSep12 unavailable; Sep12 partial; property/retained starts unavailable; outcomes use occurrence day and exact stored IDs.
AD,120250540511980660,120250540492410660,2026-09-04,0.08,1,0,80.0,0.0,,0,0,,,,Sessions beforeSep12 unavailable; Sep12 partial; property/retained starts unavailable; outcomes use occurrence day and exact stored IDs.
AD,120250540511980660,120250540492410660,2026-09-06,0.29,10,0,29.0,0.0,,0,0,,,,Sessions beforeSep12 unavailable; Sep12 partial; property/retained starts unavailable; outcomes use occurrence day and exact stored IDs.
AD,120250540511980660,120250540492410660,2026-09-07,0.33,9,0,36.67,0.0,,0,0,,,,Sessions beforeSep12 unavailable; Sep12 partial; property/retained starts unavailable; outcomes use occurrence day and exact stored IDs.
AD,120250540511980660,120250540492410660,2026-09-08,1.09,23,0,47.39,0.0,,0,0,,,,Sessions beforeSep12 unavailable; Sep12 partial; property/retained starts unavailable; outcomes use occurrence day and exact stored IDs.
AD,120250540511980660,120250540492410660,2026-09-09,0.38,5,0,76.0,0.0,,0,0,,,,Sessions beforeSep12 unavailable; Sep12 partial; property/retained starts unavailable; outcomes use occurrence day and exact stored IDs.
AD,120250540511980660,120250540492410660,2026-09-11,0.39,9,0,43.33,0.0,,0,0,,,,Sessions beforeSep12 unavailable; Sep12 partial; property/retained starts unavailable; outcomes use occurrence day and exact stored IDs.
AD,120250540511980660,120250540492410660,2026-09-12,0.0,1,0,0.0,0.0,,0,0,,0,,Sessions beforeSep12 unavailable; Sep12 partial; property/retained starts unavailable; outcomes use occurrence day and exact stored IDs.
AD,120250540511980660,120250540492410660,2026-09-16,0.75,11,0,68.18,0.0,,0,0,,0,,Sessions beforeSep12 unavailable; Sep12 partial; property/retained starts unavailable; outcomes use occurrence day and exact stored IDs.
AD,120250540511980660,120250540492410660,2026-09-17,0.03,2,0,15.0,0.0,,0,0,,0,,Sessions beforeSep12 unavailable; Sep12 partial; property/retained starts unavailable; outcomes use occurrence day and exact stored IDs.
AD,120250540514070660,120250540492410660,2026-08-19,0.06,1,0,60.0,0.0,,0,0,,,,Sessions beforeSep12 unavailable; Sep12 partial; property/retained starts unavailable; outcomes use occurrence day and exact stored IDs.
AD,120250540514070660,120250540492410660,2026-08-30,0.0,1,0,0.0,0.0,,0,0,,,,Sessions beforeSep12 unavailable; Sep12 partial; property/retained starts unavailable; outcomes use occurrence day and exact stored IDs.
AD,120250540514070660,120250540492410660,2026-09-04,0.32,1,0,320.0,0.0,,0,0,,,,Sessions beforeSep12 unavailable; Sep12 partial; property/retained starts unavailable; outcomes use occurrence day and exact stored IDs.
AD,120250540514070660,120250540492410660,2026-09-06,0.02,2,0,10.0,0.0,,0,0,,,,Sessions beforeSep12 unavailable; Sep12 partial; property/retained starts unavailable; outcomes use occurrence day and exact stored IDs.
AD,120250540514070660,120250540492410660,2026-09-08,0.12,1,0,120.0,0.0,,0,0,,,,Sessions beforeSep12 unavailable; Sep12 partial; property/retained starts unavailable; outcomes use occurrence day and exact stored IDs.
AD,120250540514070660,120250540492410660,2026-09-09,0.22,3,0,73.33,0.0,,0,0,,,,Sessions beforeSep12 unavailable; Sep12 partial; property/retained starts unavailable; outcomes use occurrence day and exact stored IDs.
AD,120250540514070660,120250540492410660,2026-09-11,0.07,1,0,70.0,0.0,,0,0,,,,Sessions beforeSep12 unavailable; Sep12 partial; property/retained starts unavailable; outcomes use occurrence day and exact stored IDs.
AD,120250540514070660,120250540492410660,2026-09-14,0.1,2,0,50.0,0.0,,0,0,,0,,Sessions beforeSep12 unavailable; Sep12 partial; property/retained starts unavailable; outcomes use occurrence day and exact stored IDs.
AD,120250540514070660,120250540492410660,2026-09-16,1.18,6,0,196.67,0.0,,0,0,,0,,Sessions beforeSep12 unavailable; Sep12 partial; property/retained starts unavailable; outcomes use occurrence day and exact stored IDs.
AD,120250540514070660,120250540492410660,2026-09-18,0.09,1,0,90.0,0.0,,0,0,,0,,Sessions beforeSep12 unavailable; Sep12 partial; property/retained starts unavailable; outcomes use occurrence day and exact stored IDs.
AD,120250540514800660,120250540492410660,2026-08-18,0.41,8,0,51.25,0.0,,0,0,,,,Sessions beforeSep12 unavailable; Sep12 partial; property/retained starts unavailable; outcomes use occurrence day and exact stored IDs.
AD,120250540514800660,120250540492410660,2026-08-23,0.03,1,0,30.0,0.0,,0,0,,,,Sessions beforeSep12 unavailable; Sep12 partial; property/retained starts unavailable; outcomes use occurrence day and exact stored IDs.
AD,120250540514800660,120250540492410660,2026-08-28,0.01,1,0,10.0,0.0,,0,0,,,,Sessions beforeSep12 unavailable; Sep12 partial; property/retained starts unavailable; outcomes use occurrence day and exact stored IDs.
AD,120250540514800660,120250540492410660,2026-08-30,0.0,1,0,0.0,0.0,,0,0,,,,Sessions beforeSep12 unavailable; Sep12 partial; property/retained starts unavailable; outcomes use occurrence day and exact stored IDs.
