day_ET,vertical,sessions_observed,form_starts_observed,completed_submissions,new_acquisitions,native_completions,coverage
2026-09-16,Other paid campaigns,0,0,0,0,0,Observed first-party sessions; not certified humans
2026-09-16,"Paid signal, no campaign join",0,0,0,0,0,Observed first-party sessions; not certified humans
2026-09-16,"Website, no paid attribution",0,0,1,1,0,Observed first-party sessions; not certified humans
2026-09-17,Pool,33,2,1,0,0,Observed first-party sessions; not certified humans
2026-09-17,Tree,8,0,0,0,0,Observed first-party sessions; not certified humans
2026-09-17,Remodeling / GC,36,6,4,4,0,Observed first-party sessions; not certified humans
2026-09-17,Roofing,18,0,0,0,0,Observed first-party sessions; not certified humans
2026-09-17,Main property,45,0,8,8,0,Property starts not instrumented
2026-09-17,Retained HIGH-VALUE,38,0,1,1,0,Observed attribution only; retained uses mixed/legacy forms
2026-09-17,HVAC,11,1,1,1,0,Observed first-party sessions; not certified humans
2026-09-17,Painting,10,0,0,0,0,Observed first-party sessions; not certified humans
2026-09-17,Metro property,3,0,0,0,0,Property starts not instrumented
2026-09-17,Other paid campaigns,0,0,0,0,0,Observed first-party sessions; not certified humans
2026-09-17,"Paid signal, no campaign join",0,0,0,0,0,Observed first-party sessions; not certified humans
2026-09-17,"Website, no paid attribution",0,0,6,6,0,Observed first-party sessions; not certified humans
2026-09-18,Pool,43,3,0,0,0,Observed first-party sessions; not certified humans
2026-09-18,Tree,21,3,2,1,0,Observed first-party sessions; not certified humans
2026-09-18,Remodeling / GC,30,7,5,5,0,Observed first-party sessions; not certified humans
2026-09-18,Roofing,84,7,5,5,0,Observed first-party sessions; not certified humans
2026-09-18,Main property,44,0,4,4,0,Property starts not instrumented
2026-09-18,Retained HIGH-VALUE,28,0,0,0,0,Observed attribution only; retained uses mixed/legacy forms
2026-09-18,HVAC,20,1,0,0,0,Observed first-party sessions; not certified humans
2026-09-18,Painting,10,2,0,0,0,Observed first-party sessions; not certified humans
2026-09-18,Metro property,6,0,0,0,0,Property starts not instrumented
2026-09-18,Other paid campaigns,0,0,0,0,0,Observed first-party sessions; not certified humans
2026-09-18,"Paid signal, no campaign join",0,0,0,0,0,Observed first-party sessions; not certified humans
2026-09-18,"Website, no paid attribution",0,0,3,3,0,Observed first-party sessions; not certified humans
